Country,Code,Year,Per.capita.plastic.waste..kg.person.day.,Region
Albania,ALB,2010,0.069,Europe & Central Asia
Algeria,DZA,2010,0.144,Middle East & North Africa
Angola,AGO,2010,0.062,Sub-Saharan Africa
Antigua and Barbuda,ATG,2010,0.66,Latin America & Caribbean
Argentina,ARG,2010,0.183,Latin America & Caribbean
Aruba,ABW,2010,0.252,Latin America & Caribbean
Australia,AUS,2010,0.112,East Asia & Pacific
Bahrain,BHR,2010,0.132,Middle East & North Africa
Bangladesh,BGD,2010,0.034,South Asia
Barbados,BRB,2010,0.57,Latin America & Caribbean
Belgium,BEL,2010,0.08,Europe & Central Asia
Belize,BLZ,2010,0.172,Latin America & Caribbean
Benin,BEN,2010,0.043,Sub-Saharan Africa
Bermuda,BMU,2010,0.252,North America
Bosnia and Herzegovina,BIH,2010,0.144,Europe & Central Asia
Brazil,BRA,2010,0.165,Latin America & Caribbean
Bulgaria,BGR,2010,0.154,Europe & Central Asia
Cambodia,KHM,2010,0.066,East Asia & Pacific
Cameroon,CMR,2010,0.046,Sub-Saharan Africa
Canada,CAN,2010,0.093,North America
Cayman Islands,CYM,2010,0.252,Latin America & Caribbean
Channel Islands,OWID_CIS,2010,0.252,Europe & Central Asia
Chile,CHL,2010,0.119,Latin America & Caribbean
China,CHN,2010,0.121,East Asia & Pacific
Colombia,COL,2010,0.144,Latin America & Caribbean
Comoros,COM,2010,0.201,Sub-Saharan Africa
Costa Rica,CRI,2010,0.258,Latin America & Caribbean
Croatia,HRV,2010,0.252,Europe & Central Asia
Cuba,CUB,2010,0.089,Latin America & Caribbean
Curacao,CUW,2010,0.252,Latin America & Caribbean
Cyprus,CYP,2010,0.248,Europe & Central Asia
Denmark,DNK,2010,0.047,Europe & Central Asia
Djibouti,DJI,2010,0.103,Middle East & North Africa
Dominica,DMA,2010,0.149,Latin America & Caribbean
Dominican Republic,DOM,2010,0.144,Latin America & Caribbean
Ecuador,ECU,2010,0.147,Latin America & Caribbean
El Salvador,SLV,2010,0.147,Latin America & Caribbean
Equatorial Guinea,GNQ,2010,0.144,Sub-Saharan Africa
Eritrea,ERI,2010,0.045,Sub-Saharan Africa
Estonia,EST,2010,0.176,Europe & Central Asia
Fiji,FJI,2010,0.189,East Asia & Pacific
Finland,FIN,2010,0.234,Europe & Central Asia
France,FRA,2010,0.192,Europe & Central Asia
French Polynesia,PYF,2010,0.252,East Asia & Pacific
Gabon,GAB,2010,0.054,Sub-Saharan Africa
Georgia,GEO,2010,0.068,Europe & Central Asia
Germany,DEU,2010,0.485,Europe & Central Asia
Ghana,GHA,2010,0.04,Sub-Saharan Africa
Greece,GRC,2010,0.2,Europe & Central Asia
Greenland,GRL,2010,0.252,Europe & Central Asia
Grenada,GRD,2010,0.325,Latin America & Caribbean
Guam,GUM,2010,0.252,East Asia & Pacific
Guatemala,GTM,2010,0.28,Latin America & Caribbean
Guinea,GIN,2010,0.03,Sub-Saharan Africa
Guinea-Bissau,GNB,2010,0.054,Sub-Saharan Africa
Guyana,GUY,2010,0.586,Latin America & Caribbean
Haiti,HTI,2010,0.09,Latin America & Caribbean
Honduras,HND,2010,0.189,Latin America & Caribbean
Iceland,ISL,2010,0.281,Europe & Central Asia
India,IND,2010,0.01,South Asia
Indonesia,IDN,2010,0.057,East Asia & Pacific
Iraq,IRQ,2010,0.103,Middle East & North Africa
Ireland,IRL,2010,0.43,Europe & Central Asia
Israel,ISR,2010,0.297,Middle East & North Africa
Italy,ITA,2010,0.134,Europe & Central Asia
Jamaica,JAM,2010,0.034,Latin America & Caribbean
Japan,JPN,2010,0.171,East Asia & Pacific
